Image Name,No of Obj,Watershed Arcs Removal,Waterfall,Ward Linkage,Weighted Linkage,MorphACWE,Iterated Watershed
0677845-r1-067-32_a,1,0.3971,0.6161,0.5845,0.5246,0.5023,0.3957
100_0109,1,0.9042,0.8581,0.5693,0.6337,0.6467,0.3381
100_0497,1,0.3213,0.2559,0.3842,0.3275,0.6182,0.3559
110016671724,1,0.1254,0.1433,-0.0308,0.0186,-0.0305,0.0284
112255696146,1,0.2348,0.3073,0.2331,0.1046,0.222,0.2223
113334665744,1,0.8442,0.8428,0.5441,0.5941,0.7506,0.6994
114591144943,1,0.5935,0.3836,0.2498,0.2127,0.2899,0.522
20060319_087,1,0.1975,0.0588,-0.0543,0.1938,0.0497,0.0377
aaa,1,0.1822,0.2959,0.0099,-0.0,0.008,0.1532
animal_5_bg_020803,1,0.2616,0.4347,0.1571,0.1318,0.2596,-0.0115
b14pavel013,1,0.4027,0.0199,0.4414,0.3813,0.4566,0.1138
b19objects118,1,0.197,0.1453,0.272,0.39,0.3831,0.6592
b1chesnuttame,1,0.0344,0.0027,0.0516,0.0116,0.0397,0.0676
b1snake001,1,0.0978,0.1663,0.0731,0.0143,0.084,-0.0298
b20nature_landscapes129,1,0.3138,0.4222,0.2327,0.2313,0.2193,0.0088
b2chopper008,1,0.8064,0.8809,0.8392,0.8336,0.8758,0.85
b2pods001,1,0.1503,0.0801,0.0157,0.0347,0.0386,0.0062
b4nature_animals_land009,1,0.0128,-0.003,-0.0107,0.0356,0.0263,-0.0639
b7nature_trees002,1,0.1226,0.3595,0.2077,0.3728,0.3847,0.0277
bbmf_lancaster_july_06,1,0.041,0.6846,0.9468,0.8493,0.0467,0.8915
beltaine_4_bg_050502,1,0.8843,0.1214,0.3771,0.8785,0.3535,-0.059
boy_float_lake,1,0.0086,0.0821,0.0878,0.1059,0.0948,0.2756
bream_in_basin,1,0.8394,0.7709,0.6084,0.3718,0.1137,0.8122
broom07,1,0.2782,0.14,0.083,0.0984,0.4271,0.3951
buggy_005,1,0.0909,0.2146,0.2881,0.212,0.3611,0.0139
bw4,1,0.534,0.5297,0.6095,0.6869,0.6719,0.5461
carriage,1,0.1138,0.1154,0.0411,-0.0139,0.0813,-0.0267
carrigafoyle_castle_ext,1,0.618,0.2636,0.193,0.4503,0.1861,0.7324
caterpiller,1,0.0223,0.2868,0.0238,0.0337,0.049,0.0002
chain98,1,0.1082,0.2198,0.6481,0.6977,0.6219,0.1074
chaom38,1,0.1277,0.1552,0.0362,0.0362,0.0363,0.0353
cheeky_penguin,1,0.1127,0.132,-0.0016,0.0147,-0.0017,0.0778
crw_0384,1,0.2631,0.4357,0.2747,0.2554,0.23,0.3339
culzeancastle,1,0.1783,0.2897,0.1897,-0.0308,0.0452,0.0191
dsc01236,1,0.0943,-0.0353,0.0028,0.0657,0.0083,-0.0006
dsc01239_d,1,0.053,0.1816,-0.0056,0.0001,0.0001,0.0604
dsc04575,1,0.9451,0.9686,0.8961,0.8374,0.0801,0.9677
dscf0034_l,1,0.2204,0.2744,0.0906,-0.0017,0.0839,-0.0063
dscf0459,1,0.0829,0.267,0.1944,0.1443,0.1946,0.0058
dscf3583,1,0.4876,0.3411,0.3816,-0.0399,-0.0399,0.2682
dscf3623,1,0.0425,0.0568,0.0026,-0.0012,0.0042,0.4317
dscf3772,1,0.1955,0.1617,0.0554,-0.0023,0.0349,-0.0006
dscn0756,1,0.119,0.0447,0.114,0.1158,0.0149,0.3214
dscn1908,1,0.1521,0.6494,0.467,0.2136,0.4295,0.4766
dscn2064,1,0.0568,0.4645,0.3172,0.2783,0.1963,-0.1072
dscn2154,1,0.041,0.068,-0.0035,0.0014,0.01,0.2514
dscn6805,1,0.1691,0.1942,0.0164,0.0973,0.1212,0.1928
dsc_0769,1,0.6667,0.61,0.0681,0.0503,0.0976,0.0021
dsc_0959,1,0.6143,0.6877,0.1675,0.1902,0.285,0.2311
dsc_422910022,1,0.6088,0.6316,0.5304,0.5304,0.5654,0.7678
egret_face,1,0.3744,0.9438,0.7589,0.9287,0.897,0.8495
estb_img_6461_,1,0.4064,0.4527,0.4281,0.0605,0.26,-0.0437
europe_holiday_484,1,0.867,0.7424,0.7393,0.5222,0.7518,0.0391
fullicewater,1,0.2299,0.1866,0.3811,0.2809,0.4481,-0.0001
hot_air_balloons_05,1,0.4176,0.5616,0.2469,0.2624,0.2647,-0.0887
hpim1242,1,0.0417,0.4875,0.0232,0.2487,0.0099,-0.0752
hpim5083_morguefile,1,0.1257,0.5094,0.4315,0.4857,0.3795,0.3746
