Image Name,No of Obj,Watershed Arcs Removal,Waterfall,Ward Linkage,Weighted Linkage,MorphACWE,Iterated Watershed
0677845-r1-067-32_a,1,0.196,0.1638,0.3488,0.3174,0.3462,0.2584
100_0109,1,0.7311,0.4622,0.4498,0.3914,0.4656,0.5939
100_0497,1,0.493,0.2459,0.3405,0.1358,0.2612,0.3647
110016671724,1,0.1999,0.1447,0.1402,0.0415,0.1713,0.0554
112255696146,1,0.669,0.4592,0.4949,0.1388,0.5513,0.5551
113334665744,1,0.6011,0.4149,0.3017,0.3288,0.5414,0.4795
114591144943,1,0.1511,0.0767,0.1498,0.1256,0.2258,0.2517
20060319_087,1,0.3844,0.5113,0.0874,0.0598,0.1158,0.0298
aaa,1,0.149,0.1138,0.1168,0.1243,0.1804,0.2652
animal_5_bg_020803,1,0.4339,0.3245,0.1034,0.0898,0.2443,0.0664
b14pavel013,1,0.4645,0.3235,0.2731,0.1976,0.3729,0.2727
b19objects118,1,0.4146,0.3311,0.2169,0.1589,0.2511,0.3879
b1chesnuttame,1,0.073,0.0811,0.2791,0.2326,0.1843,0.0712
b1snake001,1,0.3044,0.0414,0.0722,0.0648,0.1236,0.1161
b20nature_landscapes129,1,0.2169,0.2272,0.1061,0.0995,0.1688,0.0108
b2chopper008,1,0.4858,0.2528,0.5051,0.4875,0.6864,0.6103
b2pods001,1,0.1247,0.1461,0.1221,0.1169,0.153,0.0959
b4nature_animals_land009,1,0.0,0.1037,0.0429,0.0503,0.0566,0.0
b7nature_trees002,1,0.4925,0.2077,0.1208,0.1381,0.2591,0.1993
bbmf_lancaster_july_06,1,0.5996,0.255,0.9039,0.6815,0.4205,0.8218
beltaine_4_bg_050502,1,0.6288,0.4496,0.4744,0.6357,0.4487,0.0
boy_float_lake,1,0.0,0.0,0.0707,0.0733,0.1196,0.1969
bream_in_basin,1,0.5935,0.3111,0.202,0.3806,0.549,0.382
broom07,1,0.3189,0.3073,0.0261,0.0257,0.148,0.1214
buggy_005,1,0.2401,0.1256,0.2059,0.1348,0.2545,0.1879
bw4,1,0.287,0.3035,0.4195,0.3504,0.473,0.4491
carriage,1,0.1314,0.0729,0.1948,0.1759,0.2726,0.0
carrigafoyle_castle_ext,1,0.4581,0.2358,0.4173,0.1329,0.4556,0.4065
caterpiller,1,0.2166,0.106,0.1854,0.18,0.1439,0.2821
chain98,1,0.3638,0.2356,0.5424,0.5192,0.684,0.3656
chaom38,1,0.5832,0.3218,0.4146,0.4196,0.4898,0.5209
cheeky_penguin,1,0.232,0.1346,0.1775,0.1624,0.253,0.0961
crw_0384,1,0.5502,0.0978,0.2242,0.2299,0.3144,0.2207
culzeancastle,1,0.1322,0.0592,0.5239,0.0486,0.2187,0.2167
dsc01236,1,0.1236,0.0523,0.0342,0.0327,0.0514,0.0
dsc01239_d,1,0.0776,0.06,0.0947,0.0912,0.0981,0.1252
dsc04575,1,0.7487,0.4664,0.5556,0.3675,0.3873,0.8543
dscf0034_l,1,0.0243,0.2315,0.1017,0.0858,0.1245,0.0214
dscf0459,1,0.2017,0.1563,0.1396,0.1497,0.2394,0.0
dscf3583,1,0.2434,0.1983,0.1045,0.2369,0.2528,0.3874
dscf3623,1,0.0395,0.0,0.1149,0.0736,0.1393,0.1211
dscf3772,1,0.3174,0.2361,0.0589,0.0582,0.0843,0.0
dscn0756,1,0.1393,0.0714,0.0752,0.0706,0.0852,0.102
dscn1908,1,0.1713,0.108,0.1026,0.0469,0.1499,0.1714
dscn2064,1,0.0,0.0,0.1399,0.1781,0.1339,0.0
dscn2154,1,0.0892,0.0804,0.0608,0.0699,0.1005,0.1175
dscn6805,1,0.1102,0.0519,0.0249,0.0487,0.0634,0.1218
dsc_0769,1,0.1901,0.1527,0.1016,0.0331,0.2016,0.0
dsc_0959,1,0.3021,0.2299,0.1222,0.1389,0.3435,0.4244
dsc_422910022,1,0.4873,0.2867,0.1641,0.1641,0.2677,0.4452
egret_face,1,0.8668,0.6279,0.3283,0.6188,0.5927,0.4916
estb_img_6461_,1,0.05,0.0364,0.5725,0.0181,0.1266,0.0
europe_holiday_484,1,0.4611,0.2517,0.288,0.2073,0.3492,0.0
fullicewater,1,0.28,0.2898,0.0824,0.0583,0.1097,0.0
hot_air_balloons_05,1,0.2935,0.2951,0.259,0.2202,0.3045,0.0
hpim1242,1,0.146,0.1311,0.1405,0.1461,0.2234,0.0
hpim5083_morguefile,1,0.1705,0.0486,0.1237,0.1279,0.2019,0.1396
imagen_072__1_,1,0.4775,0.3046,0.2872,0.2588,0.4544,0.0319
imgp2712,1,0.6919,0.4578,0.4099,0.3368,0.3275,0.59
img_1516,1,0.3058,0.3414,0.2936,0.222,0.3835,0.0
img_1965,1,0.4418,0.4067,0.2287,0.2426,0.3253,0.4827
img_2528,1,0.1477,0.0477,0.0717,0.1612,0.0814,0.1829
img_2577,1,0.3224,0.1966,0.1399,0.0273,0.2255,0.4513
img_2592_f,1,0.1079,0.1626,0.0374,0.0546,0.0797,0.0184
img_3083_modif,1,0.3851,0.272,0.3139,0.2038,0.3975,0.1766
img_3803,1,0.2332,0.1452,0.0961,0.0944,0.1627,0.1981
img_4214,1,0.2857,0.1737,0.1134,0.1439,0.1943,0.2447
img_4730_modif,1,0.5758,0.354,0.2835,0.1386,0.3141,0.513
img_7359_copia,1,0.6223,0.1772,0.6016,0.182,0.4286,0.208
ireland_62_bg_061502,1,0.1634,0.0,0.1181,0.0511,0.1392,0.0
kconnors030466,1,0.0,0.0,0.0591,0.0801,0.0856,0.0
leafpav,1,0.7376,0.5255,0.3946,0.0878,0.5422,0.0
london_zoo3,1,0.0542,0.0405,0.0376,0.0327,0.0552,0.2346
