Image Name,No of Obj,Watershed Arcs Removal,Waterfall,Ward Linkage,Weighted Linkage,MorphACWE,Iterated Watershed
0677845-r1-067-32_a,1,0.817,0.1,0.6658,0.6587,0.6562,0.6437
100_0109,1,1.0,0.0374,0.6958,1.0,1.0,0.5689
100_0497,1,0.0,0.0,0.5984,0.5825,1.0,0.593
110016671724,1,0.0,0.0,0.4775,0.79,0.4782,0.6164
112255696146,1,0.5323,0.0261,0.4862,0.0,0.4833,0.4835
113334665744,1,0.6908,0.0285,0.6717,0.6771,0.6927,0.6878
114591144943,1,0.6737,0.0329,0.5032,0.4839,0.5232,0.6823
20060319_087,1,0.0,0.0,0.5183,0.0,0.4391,0.0
aaa,1,0.4916,0.0,0.0,0.0,0.0,0.0
animal_5_bg_020803,1,0.0,0.0,0.0,0.0,0.0,0.0
b14pavel013,1,0.2864,0.0,0.5,0.5,0.5,0.486
b19objects118,1,0.0,0.0,0.5841,0.6324,0.6367,1.0
b1chesnuttame,1,0,0,0,0.0,0,0
b1snake001,1,0.0,0.0,0,0.4607,0.5101,0.0
b20nature_landscapes129,1,0.0,0.0,0.5,0.5163,0.0,0.0
b2chopper008,1,0.5782,0.1506,0.6937,0.6929,1.0,0.6953
b2pods001,1,0,0.0,0,0,0,0
b4nature_animals_land009,1,0.3928,0.0,0.423,0.0,0.0,0.6287
b7nature_trees002,1,0.3388,0.0093,0.5266,0.5855,0.5889,0.5182
bbmf_lancaster_july_06,1,0.4778,0.0286,1.0,0.6938,0.478,1.0
beltaine_4_bg_050502,1,0.0,0.0,0.6503,1.0,0.6482,0.4674
boy_float_lake,1,0.4,0.0,0.0,0.6263,0.6292,0.6253
bream_in_basin,1,0.5196,0.0413,0.673,0.5595,0.4774,0.6953
broom07,1,0.0,0.0303,0.0,0.0,0.6891,0.6153
buggy_005,1,0.0,0.0,0.5376,0,0.6142,0.4186
bw4,1,0.0,0.0409,0.6962,1.0,1.0,0.6386
carriage,1,0.0,0.0,0.0,0.4408,0.0,0.0
carrigafoyle_castle_ext,1,0.1613,0.0,0.4812,0.5,0.48,0.6944
caterpiller,1,0.0,0.0,0.8205,0.623,0.6243,0.6211
chain98,1,0.555,0.0214,0.6914,0.6954,0.69,0.5048
chaom38,1,0.2863,0.0,0.465,0.465,0.465,0.4646
cheeky_penguin,1,0.0,0.0,0,0,0,0.0
crw_0384,1,0.4999,0.0517,0.5283,0.0,0.0,0.5228
culzeancastle,1,0.0,0.0,0.5464,0.453,0,0.4644
dsc01236,1,0.0,0,0.0,0.6271,0.0,0.6289
dsc01239_d,1,0,0.0,0,0,0,0.0
dsc04575,1,0.6667,0.2857,1.0,0.6943,0.4342,1.0
dscf0034_l,1,0.0,0.0,0.5,0.0,0.0,0.4376
dscf0459,1,0.0,0.0201,0.5,0.798,0.5,0.617
dscf3583,1,0.5844,0.0,0.599,0.4268,0.4269,0.5566
dscf3623,1,0.0,0.0,0.0,0.0,0.0,0.6439
dscf3772,1,0.5263,0.0087,0,0.0,0,0.0
dscn0756,1,0.0,0.0,0,0.0,0,0.5492
dscn1908,1,0.5902,0.0472,0.6016,0.5041,0.589,0.6043
dscn2064,1,0.4886,0.0,0.5473,0.5342,0.0,0.5174
dscn2154,1,0.0,0.0,0.0,0.0,0.0,0.8372
dscn6805,1,0.0,0.0,0,0,0,0.5548
dsc_0769,1,0.6883,0.0124,0.5119,0,0.451,0.0
dsc_0959,1,0.4789,0.0155,0.4696,0.4816,0.5262,0.5018
dsc_422910022,1,0.6256,0.0228,0.6923,0.6923,1.0,1.0
egret_face,1,0.6922,0.1156,0.6903,1.0,1.0,1.0
estb_img_6461_,1,0.0,0.0,0.6033,0,0.0,0.4916
europe_holiday_484,1,0.0,0.0717,1.0,0.6933,1.0,0.0
fullicewater,1,0.0,0.0,0.6888,0.5734,0.6953,0.0
hot_air_balloons_05,1,1.0,0.0286,0.5406,0.5468,0.549,0.4924
hpim1242,1,0.5514,0.053,0.0,0.5,0.0,0.6221
hpim5083_morguefile,1,0.6018,0.0115,0.5,0.6688,0.6751,0.6513
imagen_072__1_,1,0.377,0.0316,0.686,0.5,0.6892,0.4537
imgp2712,1,0.4427,0.1825,0.6581,0.0,0.0,0.6639
img_1516,1,0.3917,0.0,0.0,0.0,0.0,0.6165
img_1965,1,0.5033,0.0541,1.0,1.0,1.0,1.0
img_2528,1,0.0,0.0,0.0,0.0,0.0,0.5033
img_2577,1,0.0,0.0286,0.6683,0.0,0.6832,0.669
img_2592_f,1,0.0,0.0,0.5,0.0,0.5,0
img_3083_modif,1,0.6397,0.0381,0.6891,0.671,0.6896,0.6285
img_3803,1,0,0.0,0.5683,0.0,0.6222,0.5281
img_4214,1,0,0,0,0,0,0
img_4730_modif,1,0.0,0.0,0.6819,0.8161,0.6864,1.0
img_7359_copia,1,0.4701,0.0112,1.0,0.5566,0.692,0.5067
ireland_62_bg_061502,1,0.3356,0.0,0.5,0.0,0.5602,0.0
kconnors030466,1,0.511,0.01,0.5,0.5208,0.501,0.0
leafpav,1,0.4454,0.0054,1.0,0.5121,1.0,0.6271
london_zoo3,1,0.0,0.0023,0.4806,0.5,0.5468,1.0
matsumt060102_dyj08,1,0.0,0.1717,0.387,0.4255,0.439,0.5182
mexico3,1,0.3646,0.0573,0.542,0.0,0.5427,0.5431
moth061304_0679,1,1.0,0.0315,0.6934,0.5178,0.682,1.0
nitpix_p1280114,1,1.0,0.0909,1.0,0.6936,1.0,1.0
osaka060102_dyjsn071,1,0.4505,0.0093,0.588,0.6969,1.0,0.5054
oscar2005_05_07,1,0.0,0.0,1.0,1.0,1.0,1.0
outside_guggenheim_walls,1,0.2667,0.6667,1.0,1.0,1.0,0.0
palovigna,1,0.5053,0.0219,0.5068,0.529,0.5473,0.4372
pic0203vn0092,1,0.0,0.0105,0.5903,0.0,0.6015,0.6166
pic0203vn0105,1,0.1459,0.0107,0.5,0.0,0.0,0.6287
pic106470172014,1,0.0,0.0,0,0.0,0,0.0
pic1080629574,1,0.8153,0.0148,0.6614,0.5,0.6638,0.6236
pic109250805856,1,0.4629,0.0,0.6908,1.0,1.0,1.0
pic1092515922117,1,0.0,0.0,0.5,0.673,0.6562,0.6808
pict2272,1,1.0,0.2857,0.4793,0.5,0.0,0.506
pict2605,1,0.0,0.0201,0.6122,0.6924,1.0,0.5788
picture_458,1,0.0,0.1669,0.6871,0.6818,0.6513,0.6403
postjp,1,0.5499,0.0061,0.6015,0.477,0.5776,0.0
redberry_rb03,1,0.5351,0.0,0.6933,1.0,1.0,1.0
san_andres_130,1,0.6243,0.0247,0.4704,0.8154,0.4641,0.6244
sg_01_img_1943_tratada,1,0.0,0.0,0.509,0.5078,0.0,0.4188
sharp_image,1,0.4823,0.0127,0.5405,0.6407,0.6024,0.563
skookumchuk_starfish1,1,0.0,0.0,0.5,0.0,0.0,0.0
snow2_004,1,0.5313,0.0,0.5,0.5,0.5,0.6956
tendrils,1,0.4885,0.0,0.0,0.6248,0.0,0.5108
windowcn_0078,1,0.0,0.0,0,0.4888,0,1.0
yokohm060409_dyjsn191,1,0.4135,0.0,0.0,0.0,0.0,0.6245
00000155,2,0.6184,0.143,0.0,0.0,0.0,0.4173
000_4009,2,0,0,0,0,0.0,0.4
100_1219,2,0.5714,0.2857,1.0,0.6136,1.0,0.8
109300481333,2,0.5108,0.159,0.5045,0.5405,0.5474,0.6372
110932821430,2,0.2539,0.0129,0.5,0.4885,0.5055,0.4043
111876273311,2,0.6839,0.4931,1.0,1.0,1.0,0.5874
112224059330,2,0.0,0.1349,1.0,0.6527,1.0,0.664
11257554021,2,0.228,0.0,0.6582,0.497,0.6508,0.5559
2_horses_cropped,2,0.0,0.0,0.0,0.4604,0.0,0.5485
77200701,2,0.5742,0.1569,1.0,1.0,1.0,0.6584
alanmort_p1010058,2,0.5885,0.0306,0.6823,1.0,1.0,0.538
atlasredstone,2,0.6592,0.2268,0.5093,0.4341,0.4807,0.0
b10mechanics037,2,0.5666,0.1482,0.4524,0.4742,0.5558,0.5311
b10nature_trees000,2,0.0,0.0174,1.0,0.6959,1.0,0.4391
b13vehicles_land000,2,0.0,0.0,0.5,0.5,0.5,0.5466
b17leon000,2,0.4,0.0,0.6285,0.6587,0.0,0.6096
b17maartent719,2,0.5798,0.1325,0.0,0.6345,0.0,0.6546
b17maartent850,2,0.2257,0.0,0.4004,0.5129,0.5066,0.5399
b17paul1444,2,0,0.0,0.5444,0.528,0.5594,0.435
b19nature_trees071,2,0.3268,0.0,1.0,0.6969,1.0,0.0
b20vehicles_water065,2,0.6156,0.0175,0.4767,0.4552,0.4802,0.8
b7nature_animals_sea000,2,0.0,0.0,0.6701,0.4836,0.6852,0.5476
b8vehicles_water015,2,0.0,0.0,0.471,0.8377,0.4714,0.5261
b9vehicles_air015,2,0.512,0.2068,0.6946,0.6892,0.6929,0.6187
b9vehicles_air016,2,0.5261,0.5258,1.0,1.0,0.0,0.5691
b9vehicles_air018_cropped,2,0.5114,0.1343,0.6883,0.5,0.6892,0.5915
babyandmom,2,0.659,0.0768,0.4211,0.5,0.4613,0.0
birdhouse_003,2,0.0,0.0,0.0,0.6279,0.0,0.4786
bi_planes,2,0.2613,0.0,0.0,0.4334,0.0,0.0
black_and_white,2,0.0,0.0,0.495,0.481,0.4975,0.3918
black_an_white,2,0.0,0.0,0.0,0.0,0.0,0.4
boatscn2174,2,0.4865,0.205,1.0,1.0,1.0,0.5671
by_the_north_sea15,2,0.5226,0.1107,0.6806,0.6774,0.6966,0.6505
chaom69,2,0.0,0.0353,1.0,0.6737,1.0,0.5756
cocotort,2,0.3533,0.0,0.4803,0.538,0.5374,0.3721
crw_5052,2,0.8161,0.0,0.0,0.0,0.0,0.0
decorwall,2,0.6113,0.0196,0.6859,0.6945,1.0,0.653
dsc00103_h,2,0.6654,0.3586,0.0,0.6544,0.0,0.6523
dscf1479_c,2,0.1773,0.0464,1.0,1.0,1.0,0.59
dscf3208a,2,0.6568,0.0927,0.6948,1.0,1.0,0.5543
dscn0969,2,0.0,0.0116,0.383,0.5,0.5,0.5501
dscn1205_cropped,2,1.0,0.6843,1.0,0.6896,1.0,0.9287
dscn5449,2,0.6232,0.0751,0.6761,0.6739,0.0,0.0
dsc_18501299,2,0.6574,0.6665,1.0,1.0,1.0,0.5733
dsc_7742,2,0.3562,0.0,0.6554,0.6504,0.6707,0.474
dualwindows,2,0.0,0.0,0.6733,0.3936,0.6893,0.5711
eagle052607__20_,2,0.5002,0.4363,1.0,0.5,1.0,0.5336
elke_p9270005,2,0.0,0.0345,0.0,0,0,0.0
fair_gforce_003,2,0.6556,0.0467,0.6834,0.682,0.689,0.5646
fishing_on_water,2,0.8201,0.0048,0.491,0.4577,0.489,0.6664
footprints10morguejpg,2,0.6644,0.0225,1.0,1.0,1.0,0.5781
frankfurt_img_2243,2,0,0.0051,0.0,0.0,0,0.0
frosty_thyme,2,0.0,0.0026,0.4766,0.5,0.4745,0.4757
hotblack_20070901_cows,2,0.5512,0.0,0.5135,0.4827,0,0.6651
hpim0242_cropped,2,0.5,0.0097,0.463,0.8006,0.4735,0.8
hpim1928,2,0.6477,0.0392,0.4455,0.0,0.4549,0.4518
imgp1883,2,0.0,0.0,0.4596,0.4753,0.4737,0.0
img_0121,2,0.2072,0.0206,0.5177,0.5236,0.5431,0.0
img_1159_i,2,0.0,0.0,0.4458,0.4512,0.0,0.0
img_3733_modif,2,0.0,0.0,0.446,0.4457,0.0,0.5359
img_7103r,2,0.5245,0.0564,0.6944,0.696,0.6963,0.6037
img_7121sepiar,2,0.5444,0.0912,1.0,0.4246,1.0,0.5867
istambulminaret,2,0.5082,0.0,0.5,0.6496,0.0,0.0
jarndt_100_0021,2,0.4392,0.0303,0.5449,0.5391,0.5433,0.4357
kata_beach_phuket,2,0.4258,0.0,1.0,1.0,0.4686,0.0
kumarnm_100_1263,2,0.0,0.0,0.5,0.5,0.0,0.4
mf_3379,2,0.0551,0.0,0.6555,0.6536,0.6714,0.5288
mont_st_michel,2,0.5944,0.0303,0.6852,1.0,0.6957,0.3535
moon_and_a_tree,2,0.5004,0.019,0.6846,0.4315,0.6788,0.5853
